x,HGRF,VGRF
0.0014,-0.4,0.00059143
0.003,-0.4,3.3
0.007,-3.5,12
0.0078,-4.1,20.2
0.0111,-12.7,56.5
0.0111,-20.6,56.5
0.0141,-29.8,88.8
0.0155,-39.4,105
0.0158,-40.4,107.5
0.0174,-46.8,139.2
0.02,-54.5,189.9
0.0215,-59.1,218.9
0.0259,-59.1,305.6
0.0288,-56.8,363
0.0303,-55.7,383.8
0.0336,-54.5,429.8
0.0347,-55.6,443.9
0.0369,-57.8,457.6
0.0384,-59.4,459.4
0.0396,-64.2,460.7
0.0398,-64.9,461
0.0416,-70.1,459.3
0.0446,-79.7,456.3
0.045,-80.7,455.9
0.0472,-85.9,446.2
0.0479,-87.4,444.5
0.0509,-90.3,437.1
0.0516,-91,436
0.0518,-91.1,436.1
0.0553,-89.9,439.4
0.056,-89.7,440.5
0.0601,-85.1,447.2
0.0605,-84.7,447.9
0.0634,-81.6,465
0.0652,-79.7,472.4
0.0686,-73.2,486.1
0.0693,-71.9,487.5
0.0743,-63.6,497.6
0.0745,-63.1,498.1
0.0778,-54.5,500.2
0.0789,-51.8,500.9
0.0878,-31.2,495.8
0.0901,-25.7,492.7
0.0937,-14.8,487.8
0.0986,-0.03,474.9
0.0989,1,474.1
0.0997,3.6,470.9
0.1018,9.1,462.2
0.1055,18.4,451.9
0.1085,25.9,435.4
0.1096,28.7,427.3
0.1221,57.7,335.5
0.1271,66.1,299.3
0.1284,68.3,286.5
0.1361,73.1,211.6
0.1409,70,165.2
0.1435,66.8,140.9
0.1476,61.4,109
0.1509,49.5,83.3
0.1509,41.2,83.2
0.1531,37.3,66.3
0.1554,33.2,55
0.1583,21.6,40.1
0.1598,18.3,32.7
0.1631,10.8,21.8
0.1657,5.3,13.3
0.1672,2.2,4.9
0.168,1.4,0.8
0.1691,0.2,0.6
0.1728,0.03,0.00264172
0.1735,0.00291772,0.00262741
0.3304,-0.00126172,-0.000846993
0.3313,-1.5,-0.00086743
0.3341,-6,15.7
0.3368,-10.5,45.6
0.343,-21.6,114.3
0.3454,-24.1,141.9
0.3472,-23.4,161.5
0.3519,-21.6,231.6
0.3548,-17.9,274.3
0.357,-15.9,307.3
0.3625,-26.4,389.9
0.3634,-28.2,394.5
0.3675,-36.4,414.4
0.3692,-44.6,422.6
0.3699,-46.3,425.8
0.3725,-53.4,430.4
0.3735,-54.5,432.1
0.3771,-58.5,438.7
0.3794,-60.1,442.9
0.3814,-61.5,450.5
0.3839,-60.8,460
0.3869,-59.9,470.9
0.3924,-55.2,490.6
0.3949,-52.1,499.3
0.3971,-49.2,504
0.3986,-45.9,507.3
0.4006,-41.6,508.1
0.4042,-29.9,509.5
0.406,-25.6,510.2
0.4098,-16.2,509.7
0.4104,-14.7,509.6
